City,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
403,Nadapuram,IN,75.2,light rain,11.7,75.67,
406,Bobo Dioulasso,BF,77.0,few clouds,11.18,-4.3,
407,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,
408,Fukue,JP,77.0,broken clouds,32.69,128.84,
409,Tabou,CI,75.02,broken clouds,4.42,-7.35,
415,Isabela,PH,81.01,overcast clouds,6.71,121.97,
417,Bilma,NE,89.53,overcast clouds,18.69,12.92,
422,Kendari,ID,77.23,broken clouds,-3.94,122.5,
427,Mazagao,BR,82.4,broken clouds,-0.12,-51.29,
432,Safaga,EG,87.8,clear sky,26.73,33.94,
433,Phangnga,TH,77.0,scattered clouds,8.45,98.53,
434,Erdemli,TR,79.03,clear sky,36.6,34.31,
437,Gunjur,GM,77.0,moderate rain,13.2,-16.73,
438,Candiis,PH,83.14,overcast clouds,8.97,125.18,
448,Kailua,US,84.2,broken clouds,21.4,-157.74,
451,Jiwani,PK,83.88,broken clouds,25.05,61.74,
453,Barra,BR,75.56,few clouds,-11.09,-43.14,
454,Lumphat,KH,75.33,overcast clouds,13.49,106.98,
456,Zhezkazgan,KZ,76.08,clear sky,47.8,67.71,
458,Khandyga,RU,80.4,scattered clouds,62.67,135.6,
460,Dovers,VC,77.0,light intensity shower rain,12.88,-61.18,
462,Lingao,CN,82.67,clear sky,19.91,109.69,
463,Tessalit,ML,91.63,scattered clouds,20.2,1.01,
467,Biak,ID,78.89,scattered clouds,-0.91,122.88,
470,Acoua,YT,75.2,clear sky,-12.72,45.06,
472,Malatya,TR,77.0,clear sky,38.5,38.0,
474,Koumac,NC,76.53,clear sky,-20.57,164.28,
476,Honiara,SB,84.2,broken clouds,-9.43,159.95,
481,Windsor,CA,82.0,scattered clouds,42.3,-83.02,
493,Noumea,NC,75.2,broken clouds,-22.28,166.46,
498,Sur,OM,84.96,overcast clouds,22.57,59.53,
500,Mwandiga,TZ,75.94,broken clouds,-4.83,29.66,
511,Diapaga,BF,78.31,scattered clouds,12.07,1.79,
512,Arlit,NE,93.6,clear sky,18.74,7.39,
516,Premia De Mar,ES,77.0,overcast clouds,41.49,2.37,
517,Manado,ID,75.2,few clouds,1.49,124.85,
518,Palimbang,PH,83.05,overcast clouds,6.21,124.19,
521,Teahupoo,PF,80.6,broken clouds,-17.83,-149.27,
528,Benghazi,LY,75.85,clear sky,32.12,20.07,
529,Hailar,CN,75.6,broken clouds,49.2,119.7,
531,Pundaguitan,PH,82.54,overcast clouds,6.37,126.17,
532,Nha Trang,VN,82.4,few clouds,12.25,109.18,
536,Hihya,EG,77.0,scattered clouds,30.67,31.59,
541,Turayf,SA,75.2,clear sky,31.67,38.66,
542,Riachao,BR,77.0,broken clouds,-7.36,-46.62,
544,San Cristobal,VE,78.8,scattered clouds,7.77,-72.22,
